Gene	Product	Virulence?
csrC	small regulatory RNA CsrC	No
csrD	regulator of CsrB and CsrC decay	No
cstA	pyruvate transporter CstA	No
cueO	multicopper oxidase CueO	No
cueR	DNA-binding transcriptional dual regulator CueR	No
curA	NADPH-dependent curcumin/dihydrocurcumin	No
cusA	copper/silver export system RND permease	No
cusB	copper/silver export system membrane fusion	No
cusC	copper/silver export system outer membrane	No
cusF	copper/silver export system periplasmic binding	No
cusR	DNA-binding transcriptional activator CusR	No
cusS	sensor histidine kinase CusS	No
cutA	copper binding protein CutA	No
cutC	PF03932 family protein CutC	No
cvpA	colicin V production protein	No
cvrA	putative K(+):H(+) antiporter	No
cyaA	adenylate cyclase	No
cyaR	small regulatory RNA CyaR	No
cyaY	frataxin CyaY	No
cybB	superoxide oxidase	No
cycA	D-serine/alanine/glycine:H(+)symporter	No
cydA	cytochrome bd-I subunit 1	No
cydB	cytochrome bd-I subunit 2	No
cydC	heme ABC transporter subunit CydC	No
cydD	heme ABC transporter subunit CydD	No
cydH	cytochrome bd-I accessory subunit CydH	No
cydX	cytochrome bd-I accessory subunit CydX	No
cynR	DNA-binding transcriptional dual regulator CynR	No
cynS	cyanase	No
cynT	carbonic anhydrase 1	No
cynX	cyanate transporter	No
cyoA	cytochrome bo3 subunit 2	No
cyoB	cytochrome bo3 subunit 1	No
cyoC	cytochrome bo3 subunit 3	No
cyoD	cytochrome bo3 subunit 4	No
cyoE	heme O synthase	No
cysA	sulfate/thiosulfate ABC transporter ATP binding	No
cysB	DNA-binding transcriptional dual regulator CysB	No
cysC	adenylyl-sulfate kinase	No
cysD	sulfate adenylyltransferase subunit 2	No
cysE	serine acetyltransferase	No
cysG	siroheme synthase	No
cysH	phosphoadenosine phosphosulfate reductase	No
cysI	sulfite reductase, hemoprotein subunit	No
cysJ	sulfite reductase, flavoprotein subunit	No
cysK	cysteine synthase A	No
cysM	cysteine synthase B	No
cysN	sulfate adenylyltransferase subunit 1	No
cysP	thiosulfate/sulfate ABC transporter periplasmic	No
cysQ	3'(2'),5'-bisphosphate nucleotidase	No
cysS	cysteine--tRNA ligase	No
cysT	tRNA-Cys	No
cysU	sulfate/thiosulfate ABC transporter inner	No
cysW	sulfate/thiosulfate ABC transporter inner	No
cysZ	sulfate:H(+) symporter	No
cytR	CytR	No
cyuA	L-cysteine desulfidase	No
cyuP	L-cysteine importer	No
dacA	D-alanyl-D-alanine carboxypeptidase DacA	No
dacB	peptidoglycan DD-endopeptidase DacB	No
dacC	D-alanyl-D-alanine carboxypeptidase DacC	No
dacD	D-alanyl-D-alanine carboxypeptidase DacD	No
dadA	D-amino acid dehydrogenase	No
dadX	alanine racemase 2	No
dam	DNA adenine methyltransferase	No
damX	cell division protein DamX	No
dapA	4-hydroxy-tetrahydrodipicolinate synthase	No
dapB	4-hydroxy-tetrahydrodipicolinate reductase	No
dapD	tetrahydrodipicolinate succinylase	No
dapE	succinyl-diaminopimelate desuccinylase	No
dapF	diaminopimelate epimerase	No
dauA	aerobic C4-dicarboxylate transporter DauA	No
dbpA	ATP-dependent RNA helicase DbpA	No
dcd	dCTP deaminase	No
dcm	DNA-cytosine methyltransferase	No
dcp	peptidyl-dipeptidase Dcp	No
dcrB	periplasmic bacteriophage sensitivity protein	No
dctA	C4 dicarboxylate/orotate:H(+) symporter	No
dctR	putative DNA-binding transcriptional regulator	No
